Rank,Wallet,Owner,Balance,XRP Locked,Percentage
2646,r3o56ZBZhJVMoLdbiG42mH3my2dizhvLXX,,"990,121 XRP",,"0.001
%"
2647,rGthzru3SrSvyEF7ubfYMn2d4NUesYPXbc,,"990,048 XRP",,"0.001
%"
2648,rK14WVAKriMYRKuiEHbQhDefDQ3zaVmzDP,,"989,944 XRP",,"0.001
%"
2649,r9Mxg3YiyfQ4F3gx4mkMedX1A89edock9P,,"989,199 XRP",,"0.001
%"
2650,rfpFPpx8ScY6Q9ZeyhPYwHefKdx3aMpy9J,,"988,874 XRP",,"0.001
%"
2651,rPBjQsmkEPUX9bP6ZsbeKzqAz4mCFAixUi,,"988,608 XRP",,"0.001
%"
2652,rJfSBu9or376eXdo5VCSLMy5qzV8Lc8zR,,"988,468 XRP",,"0.001
%"
2653,rUBPgv8hVMBrFMeNYBPMUwiTwWiEom3GvQ,SunCrypto (1),"988,005 XRP",,"0.001
%"
2654,rrVvaPWAWqt2GjxaXXBK9e9Wd5e4nH5to,,"987,890 XRP",,"0.001
%"
2655,r3a7Zt1z7LnjAFZiYxUogjtso7TQ2spkvm,,"986,192 XRP",,"0.001
%"
2656,rGTph3j6nirW9gXjQEQLzrsXiVytaYxwfS,,"985,747 XRP",,"0.001
%"
2657,rGKa9FTfX4CGeHS8rmxq9TStVbG9ZzjqhT,,"985,679 XRP",,"0.001
%"
2658,rGV2dz93B2mSv2tZvonW1UHBHQqpSF7b2B,,"985,191 XRP",,"0.001
%"
2659,rntAanf2ojNCnV452maJq1t7wqv43jgseA,,"985,050 XRP",,"0.001
%"
2660,rHEAJFPczLPq8hrPAfTFy7c8aJ8qmCuwX,,"983,078 XRP",,"0.001
%"
2661,rg4oeqbYEiK1wyTkr7VccAhSYNXsThmzz,,"982,016 XRP",,"0.001
%"
2662,rUS46finA3z8ByC4CYawevXoAjTdmK68rQ,,"982,012 XRP",,"0.001
%"
2663,rBAg56YMpBvsfQq7HaFQRpdcTJZnr3orBp,,"981,314 XRP",,"0.001
%"
2664,rBBDaz7NPmgFU3HkAJgjFEimJwPsCha558,,"981,251 XRP",,"0.001
%"
2665,rhujAQRZj9NEdw41HLrLRUWfR6vp6A4gqp,,"980,583 XRP",,"0.001
%"
2666,r4o7N8a9eyGQG6PUFAh2sTMHdVym2bSphQ,,"980,172 XRP",,"0.001
%"
2667,rhgNTSeHguRAz3d5DyMa31iBMN8s4odhQf,,"980,023 XRP",,"0.001
%"
2668,rBXynmKdegcmTLeA91z9ctwtN4ADPBcqJ5,,"980,010 XRP",,"0.001
%"
2669,rUdqi6nXbm26qt79FkoMYTmTG2zuhQaPG6,,"979,865 XRP",,"0.001
%"
2670,rP6pEhWXReL5eXvYpzLKVWo5xbWFJYnDxf,,"979,108 XRP",,"0.001
%"
2671,r4jcFVf8acXMkVyfDQmNpUD6Q3ZMg6VCAK,,"978,687 XRP",,"0.001
%"
2672,r9JFukuzCVuGTCb7YVWC34Tje98NL7UGhb,,"977,262 XRP",,"0.001
%"
2673,rJXXXVJQvpuFixDpA5GBpQNruZN59Ujkvj,,"976,351 XRP",,"0.001
%"
2674,rJM2ojiTWbLaha37EN4TsqkrTXA5j3Rter,,"975,700 XRP",,"0.001
%"
2675,rByV8YhK1PS92TGi3WuMZbsNQpwPS1iU93,,"975,578 XRP",,"0.001
%"
2676,rpRCyqNF2Rtfpqv3ugAqe7CUtxCSctMEMg,,"975,059 XRP",,"0.001
%"
2677,rMMoWMe3PPHP55tuxXfYcz9fGeoaG9a4Ni,,"975,051 XRP",,"0.001
%"
2678,rfiY8ZGJ7gY9ticjyiCDe56fQYhqc3JFJK,,"974,942 XRP",,"0.001
%"
2679,rG3BYzFFWpbmLMaAYXMzoDBt7h4FFhjLZn,,"973,653 XRP",,"0.001
%"
2680,rNdhc8PPsJjHehSDvjGVM3FcjndJbSjSbu,,"973,075 XRP",,"0.001
%"
2681,rhrk8vib6A9C4GfAFrf7sUaSJxwisTKZCF,,"972,501 XRP",,"0.001
%"
2682,rD9ex7bJtRLe1qSCZGiYBEGsMXKgt8KQg,,"970,009 XRP",,"0.001
%"
2683,r4z8fFT7frf6CuwrkZjbCGDFm9KjwGw4fB,,"968,173 XRP",,"0.001
%"
2684,rhuqpDZ2XNjWzvZ16wJhmJF5JDaU3NdvE7,,"968,108 XRP",,"0.001
%"
2685,rwQQC59Tazxig2YGALop3FYkwghUx2b7Zm,,"967,378 XRP",,"0.001
%"
2686,rfLi8XX29W4yEyDAGYTanupVbSa6MUZfZH,,"967,338 XRP",,"0.001
%"
2687,rDKsmaFQ96Bn85hndmbVh3zTEVPM4frAKG,,"966,941 XRP",,"0.001
%"
2688,rwyqR9Vi3cjFTJuxbMSrZSMQ2XwXKKsL9U,,"966,548 XRP",,"0.001
%"
2689,r34ViZwJjvejqHfm6tG7nE72eYyMmynovK,~sm3307,"966,151 XRP",,"0.001
%"
2690,rfhp5fzuRCa9T3Z5NKXc1Qx97xaH6qL6UE,,"964,676 XRP",,"0.001
%"
2691,rn8SYVenmQ9h4Y7Ztc2ieazyhet1cJ8Ghj,,"964,658 XRP",,"0.001
%"
2692,rKTNMWV8dV92Y9TFsUqhwU1gEYzfgPi19t,,"964,657 XRP",,"0.001
%"
2693,rGMiaBdBUcf2gmYPFgRXXhjh7c22qe3pbA,,"964,315 XRP",,"0.001
%"
2694,rP575mEqMwQnDgtkRgQ3u8PGZWSzyaP8cB,,"963,946 XRP",,"0.001
%"
2695,rGLATjC7obTexGFwb3KCRL6vzm5hmAhqCm,,"963,233 XRP",,"0.001
%"
2696,r9PwnfJdVSCZqesWKbQwtuemongdAVS7F,,"962,280 XRP",,"0.001
%"
2697,rf3bzhtUa3RabFSLXmM2sF5x8Vi9XMPXgf,,"961,573 XRP",,"0.001
%"
2698,rGPQCHtS4zTywkBTjsewYCEzYpBQQRJN2Z,,"961,506 XRP",,"0.001
%"
2699,rwGHMdJaSYnkkCn5UxWQzoC32Z7aJeexNR,,"961,442 XRP",,"0.001
%"
2700,rs3sMU1SiR5Zj8D1jwKkYpMwj9k2a4kCJ7,,"959,338 XRP",,"0.001
%"
2701,rPnbJ3LFU9stjtUCs7yweMKmhHULT4fUE8,,"958,408 XRP",,"0.001
%"
2702,rUYHZ71yXAS54ZQNvvooLX7rFtZydXjnP,Hata (1),"958,360 XRP",,"0.001
%"
2703,rDPdcMeTezA9CenEu6WWHfqKn3HxufDpr5,,"958,306 XRP",,"0.001
%"
2704,rETajKgSMLSatmo2xUEUwnPuXjHH3ck4Gg,,"957,310 XRP",,"0.001
%"
2705,rLVGtBq1NtvKtpRJzpBU2V1UiAp4oZdcfd,,"957,096 XRP",,"0.001
%"
2706,rMHNLZcG6PdjhZWzW9GMs6CZv3DQ7FP8v3,,"956,086 XRP",,"0.001
%"
2707,rf59kCPhPKXg1STMc2kyXsshdrmfBAAbPH,,"954,028 XRP",,"0.001
%"
2708,rJaBWhchtFB3DjKWJE2yDMpAK9JEofUsyt,,"953,464 XRP",,"0.001
%"
2709,rfnxdoaqXiRbY8KpnAwzMkgsf66Ky1Yozp,,"953,434 XRP",,"0.001
%"
2710,r3hBuboWxkfDccWPGRiqF1k296TevG3VuU,,"952,556 XRP",,"0.001
%"
2711,rEsCGgsA9Vpk5Py4DHkoF6oE6Z8T5dpbb1,,"952,491 XRP",,"0.001
%"
2712,rVuseSPv8o3nuJWTnYWaPgLYgukt9gz5t,,"952,252 XRP",,"0.001
%"
2713,rBLmKutQHrJpKYZ1UGxvcRp7thHk9W5rqW,,"951,862 XRP",,"0.001
%"
2714,rPhnKveHabc3ooinu9NdfovazJrQ8LhwHV,,"951,598 XRP",,"0.001
%"
2715,rnQaXkfnLqBzYV3AXD8rXAoBzt8R1uBMgZ,,"950,100 XRP",,"0.001
%"
2716,rJbTA9Ve15wvtzGum3D5pDWnE7RAcRyhhn,,"950,088 XRP",,"0.001
%"
2717,rLR8aexmK25Am9AMCuKG1UP6muEkjKdXBW,,"950,001 XRP",,"0.001
%"
2718,r3aXeJ8vyDYFxn6ZD9HUv9qNiUyt8vqR3K,,"950,000 XRP",,"0.001
%"
2719,r9WTbiRiuMsEzcQn8dEzHjt7gsMvNK8VJH,,"950,000 XRP",,"0.001
%"
2720,rUs9akTParSJ1h9t5xZxqz3bbtRaFLtZCB,,"949,993 XRP",,"0.001
%"
2721,raTXGtojSvDsHp8A3Evjo2en3arFePX5MM,,"949,036 XRP",,"0.001
%"
2722,r4KsMqgRWDLpSRAWh74TfHAAKrrzdY76zo,,"948,889 XRP",,"0.001
%"
2723,rHG3NuE1jpGqMsGMmxyKSt1Xj4J562ZaDe,,"947,709 XRP",,"0.001
%"
2724,rHc4Tk1rJjoaZC1RHLm5SeHxFgQJoDtY4F,,"943,811 XRP",,"0.001
%"
2725,rJX5eDsTAvAMUp7MR3Mf9bs8jn92REVMuL,,"943,489 XRP",,"0.001
%"
2726,rp4vEDCrbjdLKBCN3DqwS9ZDaAq2bkzNyY,,"943,395 XRP",,"0.001
%"
2727,r4atGGfARitVpaiW4nPSAZh69zzK6AqWFf,,"943,009 XRP",,"0.001
%"
2728,rhaRYLoxe31FGumMUAMmbM4sk6VXS7tqN4,,"942,218 XRP",,"0.001
%"
2729,r972fcjUpdxUdoYek32QHByCAJ54jbJQ8Z,,"942,213 XRP",,"0.001
%"
2730,rJAxjggEuqN7rTQn7eKJbKUzGpC2qFpuA9,,"940,671 XRP",,"0.001
%"
2731,rP2M6qpN2rS6vZ5DrQPECVPqEJRy5DqAT4,,"940,479 XRP",,"0.001
%"
2732,rU2Tj7RD3G1qbZPyZA4nEMAgyoKmJdCCk4,,"940,400 XRP",,"0.001
%"
2733,rBqwJfXbJc7BbUJrQDjePvSYfwYasQxtNJ,,"939,334 XRP",,"0.001
%"
2734,rfakQWGkxpMc1PJc6ZuuispHWozdfYwoqD,,"938,367 XRP",,"0.001
%"
2735,rGwUVaVGsSkNoWv7WmHktUdAL2gWUetxzN,,"935,995 XRP",,"0.001
%"
2736,rhjhwvYHEGeEzBDLhCEVJA32Sdd9tkJSPD,,"934,370 XRP",,"0.001
%"
2737,rfokn25roTdbRqEXF8DQiAp6tGLJvgsYRj,,"931,835 XRP",,"0.001
%"
2738,rp1vRBzdsFeHDskNV2B1J9Ev9Aqc552mkf,,"928,553 XRP",,"0.001
%"
2739,rUkRRhoARUHteKBpueNeNwZy6ai62n7NwV,,"927,919 XRP",,"0.001
%"
2740,rEiLZ9oofSc8KS7SyxKD7Qb2enL6xzKUhQ,,"927,584 XRP",,"0.001
%"
2741,rpZgdVHJkcaNZJt93rYstpsLAUs6tzzyqf,,"927,252 XRP",,"0.001
%"
2742,rEonou1ZP4BsEvvcYbS1JaY3Zt3pwdjxU6,,"926,995 XRP",,"0.001
%"
2743,r9nP5opRukoaazVfazQ57fYRvKK96Gdckx,,"925,504 XRP",,"0.001
%"
2744,raiqd5jUkbNAwLHWfiXvmTpZ4roTpbewju,,"925,300 XRP",,"0.001
%"
2745,rGkRXSM5rDct58V4A28aeAofEBZvrPNfG2,,"925,112 XRP",,"0.001
%"
2746,rfHboCAmyYoVs7PTeGaQDphfsqhvNNxp4T,,"924,348 XRP",,"0.001
%"
2747,rQE1WbnP6P1xmJcgZfBpRFwL6fcbstztFX,,"924,220 XRP",,"0.001
%"
2748,rnYdLtuiNcNLjgZgbHN5PLzpQEcGvkbPBt,,"922,776 XRP",,"0.001
%"
2749,rpN2kRaFCst7EE9adU8TmQjuDqGoRaw3if,,"922,600 XRP",,"0.001
%"
2750,rPj6WPYYh25681BR3JFW9m7kuRLV4yyQaM,,"921,917 XRP",,"0.001
%"
2751,r4i9Xdr9p6R2YJgG3Q65eEGLWZUcXarB23,,"921,405 XRP",,"0.001
%"
2752,rPaMFC5Y2QWDZaKqoQDH6NfDnYWVaFiJNr,,"921,331 XRP",,"0.001
%"
2753,rBWvurzQCnteycH1BNXyNYXbuchWGFHfY8,,"921,030 XRP",,"0.001
%"
2754,rMku4g49XYDe1vrrN84iii1dwFvvLEP7yn,,"920,976 XRP",,"0.001
%"
2755,rPbCVqvHgpSvr9LaDv5PVLVym32W572DQA,,"920,751 XRP",,"0.001
%"
2756,rK2TXY33V9XGcnqm7zn8Un8oPEFzFC62Z3,,"920,647 XRP",,"0.001
%"
2757,rMeqYrWguk6U6zhvpUGGNLrrKhALp1AJfR,,"920,243 XRP",,"0.001
%"
2758,r4iyQvUmsfrkAY2iknEdJCbPavW7fiMRgE,,"919,404 XRP",,"0.001
%"
2759,rLJaqzwpFT33Vi4taJme7pZ4sBDgG29uXS,,"919,303 XRP",,"0.001
%"
2760,rsLJFqq4a6uwfYfRGjY1zwWTfijqCupLHN,,"918,612 XRP",,"0.001
%"
2761,rwrZiXyGyukzcFUZsgjXUC6YaJpx5KFaZ7,,"918,128 XRP",,"0.001
%"
2762,rhv7B6ziymrui4HmiAgc9WmztThQXsmc9Z,,"917,718 XRP",,"0.001
%"
2763,r3HcXfnwT31apbJLSvr7jNzzjw5NomnpXR,,"917,368 XRP",,"0.001
%"
2764,r4zSkdjziRxUVmhSRCiM5qNHCSQsBXo3sw,,"917,300 XRP",,"0.001
%"
2765,rDpjWRPHhQ4k3kQAGaUZHCPGAuKUnxHgTH,,"916,876 XRP",,"0.001
%"
2766,rMVz7zwGTQfS6ieWrzNhZT9LV8v6Bnvbxc,,"916,000 XRP",,"0.001
%"
2767,rKaUqfT5XzQ9MRgcxpv6agemjjcqQbw4KP,,"914,000 XRP",,"0.001
%"
2768,rD5X1J26XLuzRVmgt8vSo3cHNw2kKjMkTU,,"913,889 XRP",,"0.001
%"
2769,r4mdbjzcGna6BFEJK3tkvX7YB37RAE3bK4,,"913,124 XRP",,"0.001
%"
2770,rJpFD3ybJe5DeR2htRxqgmCZeT4v7XhMFq,~distributed2,"913,083 XRP",,"0.001
%"
2771,rGxFLHaWT62BExnLQDCzPor9froDrJA1cg,,"912,527 XRP",,"0.001
%"
2772,rESzsacC9F9yVjEDm7T7vGuAHmTweVGA3K,,"911,912 XRP",,"0.001
%"
2773,r4aWtec9B6EDjTFe5GMgYTdVsc8na7Xn5R,,"911,153 XRP",,"0.001
%"
2774,rnB4633YFgnFYnbmp1DiGAjzUbS6WVXKjm,,"910,987 XRP",,"0.001
%"
2775,rBEatvYVxaZ2rzvMo9cBv5wKrtXhmcCEhK,,"909,941 XRP",,"0.001
%"
2776,rsrx4uxk8s9RyHkHDTapFb3SFv1y4iVR5J,NBX (1),"909,170 XRP",100 XRP,"0.001
%"
2777,racrdQZYvywnnxfHcfUPTMm9EyXt8oASzQ,,"909,120 XRP",,"0.001
%"
2778,rPgqYb6zNBEudivnMynqoccFnfwPWGPS7Q,,"908,853 XRP",,"0.001
%"
2779,rKWie4ekk2WrypeSRdhoYKYBYe6SFbGnzY,,"907,457 XRP",,"0.001
%"
2780,raUWsTRLRHLEpMxKtjZKPDCtJ32mUhGyq8,,"907,413 XRP",,"0.001
%"
2781,rfUaZzn1Nz8LFFfFtGE1UyVNXrRUGQEmvy,,"905,991 XRP",,"0.001
%"
2782,rJXxzRYWDc6p6PB7p26DDdEwR6ZHfUWLbv,,"904,009 XRP",,"0.001
%"
2783,rEWrSFwgCNGnHqjcYUkNPEmVFcJFtoHzT,,"903,990 XRP",,"0.001
%"
2784,r9ozz6uc62K4pYUFpf1EBZBAFU3VUNUibb,,"903,280 XRP",,"0.001
%"
2785,rw6iZYB5indgJMfxwWfTGTg4bcPyNWfgpQ,,"902,502 XRP",,"0.001
%"
2786,rDQxYtcNaq4skH9QTTF18WC9mGu6cS1UMx,,"901,927 XRP",,"0.001
%"
2787,rqRcniy21B46gztBABjTTLdS2c8iq3PAZ,,"901,862 XRP",,"0.001
%"
2788,rExhsVuJjRqkY2bHY1YdUVdF5aGAxQuWh5,,"901,331 XRP",,"0.001
%"
2789,rNFPRnAT7tPhQXfhxzDhXdaFfwiEEYzPnV,,"901,320 XRP",,"0.001
%"
2790,ra9sco7fwWdFhX8PiawXNr7KzyexRHmTdr,,"901,222 XRP",,"0.001
%"
2791,rGpJNix1r1ghhQYhCFp1twJ1kDGGxrdXCt,,"901,007 XRP",,"0.001
%"
2792,rU4fTaueJtLFhCxpY7Ef78gpmEQR9DaQa8,,"901,000 XRP",,"0.001
%"
2793,r44wGCrjDC6sodEdHZT7jd1T13LVSmiafe,,"900,920 XRP",,"0.001
%"
2794,rfnYqrHEzbtsSyMKJjAK1wiDPx6fdZeEZn,~wonganit,"900,553 XRP",,"0.001
%"
2795,rNvYms2RzbMeS3nfoy9ZdXHJKeAey4Qs97,,"900,385 XRP",,"0.001
%"
2796,rPdFFfZtiMjppRthcHYQCt4tjnW2zEMCaz,,"900,359 XRP",,"0.001
%"
2797,rLm97HdSZsicZ2UF3sLP82cX2K126BKtUU,,"900,278 XRP",,"0.001
%"
2798,rwpba6jx8AosJEyHooXirzGHYPbo7fxHFi,,"900,168 XRP",,"0.001
%"
2799,rsLtbQuF7xhrhPbfv7K18DMdXKEGiwU5eu,,"900,122 XRP",,"0.001
%"
2800,rpA2EhWaRy4HGG56QL24S4YsrRco1z7mZ7,,"900,114 XRP",,"0.001
%"
2801,rhU64mp3viMKWZVVsR97wfr5XozNKGerPu,,"900,014 XRP",,"0.001
%"
2802,rHDPuMVP8BnRhQfehJv5LWmZ4WtW7UECKM,,"900,012 XRP",,"0.001
%"
2803,r9eHticL7ZdP5Q23152JNkxhYYmfg6yB8S,,"900,002 XRP",,"0.001
%"
2804,rJ6ChW6A3U9VUD7Zwzg3Sqsc4xzkeA83hX,,"900,001 XRP",,"0.001
%"
2805,r4W4qyDiNw1XmoF2raRjYaQPnfhFfR3kqv,,"900,001 XRP",,"0.001
%"
2806,rfxW99eXCBjjCyEBYiEXgFigwpfSkjFbZS,,"900,001 XRP",,"0.001
%"
2807,rHgdWKgN35ujdUtmgbKRBHmXUsfR8oXNnR,,"900,001 XRP",,"0.001
%"
2808,rUAN12NYbbyazGDht1jErUsQZxkf93QstE,,"900,000 XRP",,"0.001
%"
2809,rHoN372qihzXsvyBaQWqLVAZsxGveNJCgE,,"900,000 XRP",,"0.001
%"
2810,rLzU6BgkTWWY4udEi3bYFPQu6Up5so2Yj2,,"900,000 XRP",,"0.001
%"
2811,rJ55GjcaL2TEnqLwrB7xBhGCRq6nJBhmsp,,"899,922 XRP",,"0.001
%"
2812,rwqn3pE5ZuTSrpTQG2hz1RWH4YfAe1Angn,,"899,752 XRP",,"0.001
%"
2813,rGjpjwxbgyzfAM2ZqL3w98Y7WmSJUaksN3,,"899,420 XRP",,"0.001
%"
2814,rNUHhWJT8UkFnHCFcx82p1eRyZYBmUtMS9,,"898,253 XRP",,"0.001
%"
2815,rh9jSoUxn4YwJBmWSkGa83te6bir8kj5gu,,"898,205 XRP",,"0.001
%"
2816,r3QPYqS41DveGLKkK5sWSPAcZL8WpJkbtv,,"897,893 XRP",,"0.001
%"
2817,rUV96EqrfyhPwZYhMvDk4uBBmVvL89fNqn,,"896,308 XRP",,"0.001
%"
2818,rMjf2fL7aUcXyAyEGsS5h9sMppHnFYxJhx,,"896,237 XRP",,"0.001
%"
2819,rnmDH7poipPSgtqkQSJm98e8RiBBB7phcN,,"895,148 XRP",,"0.001
%"
2820,ra1ZMrtxGctWWFzwsLf57R4RNhGnxyc5Qu,,"893,807 XRP",,"0.001
%"
2821,rHjtzKHMdSHVnkoeft67uc5BvDmvt2MKWw,,"893,744 XRP",,"0.001
%"
2822,rBhJJV6eKogaJnfqgZxUy2SCrvFxmZLcnX,,"893,268 XRP",,"0.001
%"
2823,rHTXVBVxQAUPG5MNHw4UdJpqtCchW6NwGM,,"892,946 XRP",,"0.001
%"
2824,rKj4W5xaTE2iFEoUVyu9cfPQGSd77VNXux,,"892,658 XRP",,"0.001
%"
2825,rpHJf69ReqbD6Dv9dqhNzYp8TPopNfNHgz,,"892,382 XRP",,"0.001
%"
2826,rD63UqS5oLSLdBtsJdmXqh5kvfNqZXtY6v,,"891,409 XRP",,"0.001
%"
2827,rBM2AncY1nquKvY6C3snoVzDH9gZGq3J3N,,"890,801 XRP",,"0.001
%"
2828,rETev89UN8H5rFtfoA36PKYe46AvMDChBb,~takigami,"889,959 XRP",,"0.001
%"
2829,rEuiRxSegJywkqyHRb4JpjZ2VAxrkp1fpp,,"889,933 XRP",,"0.001
%"
2830,rN2dBPDr9aSDP4rsU3z8NekGnwVkA8Kiy8,,"889,000 XRP",,"0.001
%"
2831,r9GG16EVPcbFrrY2JfgzQpeYNMzFmXa5Gr,,"888,802 XRP",,"0.001
%"
2832,rrhFiGNGPxJiMUrr48fCEDWKKQn9Fti4JH,,"888,673 XRP",,"0.001
%"
2833,rMTrKAs9zUKSNtQwtWiHwCXs2VgpA4K97u,,"888,404 XRP",,"0.001
%"
2834,rPa1vei1TyyhBnikWhgw7RqAetVaGEwobi,,"888,404 XRP",,"0.001
%"
2835,raDojM38frDZz21fRr2c22iU6ryDNb83ot,,"888,403 XRP",,"0.001
%"
2836,r9wz9Q2dd16cczXXaPmq7rjt7fugi9yvUx,,"888,402 XRP",,"0.001
%"
2837,rhMfDCJhazCw9ppRhTAu6eWNXZMYDaNWpm,,"888,400 XRP",,"0.001
%"
2838,rETWmHhH9HqWZLTvMRyu9Mvp9Rg4Kfu8Z2,,"888,399 XRP",,"0.001
%"
2839,rUeFJxTnvkS8aHeg6MguYw5dX1LKbbeXoi,,"888,399 XRP",,"0.001
%"
2840,rn5g9qnvmRPbtsp6h2QPM1yqSKd2XmeDhu,,"888,398 XRP",,"0.001
%"
2841,rGXH5A3gzGWpsa85EsSDtfXmBKHWEDs9Uv,,"888,398 XRP",,"0.001
%"
2842,rPhs7ZzGFFwfxH6c5Dw8rs2YRJLSj1nYCs,,"887,927 XRP",,"0.001
%"
2843,rEvGiBMKajcenhjJ9BCxUvTSjtGxf3aGgY,,"887,909 XRP",,"0.001
%"
2844,rD6dgeYv7JjDn4k5JtzxRmH3W4PgNDjS2h,,"887,541 XRP",,"0.001
%"
2845,raJ9n5GGBLpZeJUsNVxDPZJ3Jov6cR4YV3,,"887,301 XRP",,"0.001
%"
2846,r9gCSTMT5CTBr8ryXTwJJinhQu5JxXpcQR,,"886,565 XRP",,"0.001
%"
2847,r9jt31tEVN4jvbbpwtZhu3KqQ2sKPnVovS,,"886,387 XRP",,"0.001
%"
2848,rLoG1pNLZN6KVNMcsfu8KPtektCYXv9mn4,,"886,369 XRP",,"0.001
%"
2849,rn2qtAPvfpnTn7pwdXgFkaqhivtWeKMXhA,,"884,759 XRP",,"0.001
%"
2850,r4SroHKUHC6UndVgCr2WEE6yXGdfsCYns3,,"884,715 XRP",,"0.001
%"
2851,rQ9dUXAHwGwLgmfqL8WrezwfZ9TRGbDVDG,,"883,717 XRP",,"0.001
%"
2852,rPzDDRoHkcnzwmjkUeTnNZsnrcHzfQnxvX,,"880,852 XRP",,"0.001
%"
2853,rhERgYasHi1AmobvBisTR6pPddbG37tzJo,,"880,758 XRP",,"0.001
%"
2854,rGPcSFsTKGe8kcJ1ts866YBa1P5dnaqixT,,"880,434 XRP",,"0.001
%"
2855,rBagizNhNs1Q1QB8e95HNUSXSLcEgWW7JL,,"880,413 XRP",,"0.001
%"
2856,rGKNAxxuafbE5uCjA43AeGahvt3qrrMmQu,,"880,001 XRP",,"0.001
%"
2857,rsGfENDmdsoEmx2Qg7Zntc7yt9ZSdBEXjt,,"877,933 XRP",,"0.001
%"
2858,rLbtKpjWut2ET3zVGMSAh8rYDyV2iAwSWe,,"877,570 XRP",,"0.001
%"
2859,rJSDfmq8pSjV33YiQG8o26Z85qFUPnYtoR,,"877,225 XRP",,"0.001
%"
2860,rsuM7Vb71r59wNsnXjUCoVFGoPe93miLAf,,"875,554 XRP",,"0.001
%"
2861,rsrHEWKwFq19syMj2urHKFcZHMCA7kyh1E,,"875,000 XRP",,"0.001
%"
2862,rDKvENFRxCYeGoGy7uKzvpQpkxg7z9Bc74,,"874,266 XRP",,"0.001
%"
2863,rNWAYCSrdCA44EJkxLTB7wnbyoaemTFJw6,,"873,606 XRP",,"0.001
%"
2864,rNEpDadBRiTzGhrMFZd99QRMc4NyX8DuTh,,"873,465 XRP",,"0.001
%"
2865,raHmRZScJY6cGBxQajh1fzcR5m5kPimhjs,,"872,757 XRP",,"0.001
%"
2866,rJEwrpG9p56HgHtXggWbdoomh8z8gdYFGw,,"872,470 XRP",,"0.001
%"
2867,rEXgWdnk1b8vraf91UEP6K7ZciFo4Ro15H,,"872,431 XRP",,"0.001
%"
2868,rEsZtsv1ur8fCJkrj3p5Kwt73VPNxgVjVW,,"872,237 XRP",,"0.001
%"
2869,rMpVwAvQw6rqeD5bmmTCY8HmV6iVfjapsJ,,"872,186 XRP",,"0.001
%"
2870,rwYpBBorqwuwHcnrN9onkPwduaNK3fuKjo,,"871,423 XRP",,"0.001
%"
2871,r3tfGQsTJ1t6qALHqQfHVoxZ3cLGgNXN3,,"870,765 XRP",,"0.001
%"
2872,rsA9ijHjo7hAkitc9GsXsiwXzqGs7eoeqr,ProBit (2),"870,545 XRP",,"0.001
%"
2873,rsthAKxFtR6o6C1pLKq5DyZzWk13zMUzfr,,"870,512 XRP",,"0.001
%"
2874,rEQCuqf7ir4BaZ2c1yHAiSQ9CjzoV3YGfE,,"870,501 XRP",,"0.001
%"
2875,rGYTw3gM11SAuJw3aSeUgyor4RQRXRkEYk,,"870,500 XRP",,"0.001
%"
2876,rHuTgrsPNoBdytWaBPHrx18m5xkw6Q8pin,,"869,885 XRP",,"0.001
%"
2877,rfLsJrAK3yiGwUTSbatT9Ehj2WystHJvRr,,"869,788 XRP",,"0.001
%"
2878,rKqmMYP44Cwx2Dbt5iN7WDkyfmgutMJSML,,"869,593 XRP",,"0.001
%"
2879,rhB7GCNpQQygoDBLZK6HCRAYKYzG5HUrRZ,~pos7777,"869,165 XRP",,"0.001
%"
2880,rLZ8KowYxxsJgc5cQFSdeYn9LXiHg5Htvs,,"867,401 XRP",,"0.001
%"
2881,r464WVLCgXaST2Gxiexe3CNDufLYQueuWK,~scott-trade,"867,305 XRP",,"0.001
%"
2882,rHfEHHDgq7pXXwVgBx7a1fSAa2mQY4RbAk,,"867,151 XRP",,"0.001
%"
2883,rha1B1T42DvoFGqi33VZ4FLBi6pWTmLVEg,,"867,012 XRP",,"0.001
%"
2884,rpmNujMciYja4RrKzNdQwSsiqczpDy9shC,,"866,764 XRP",,"0.001
%"
2885,r9BEkHebwrdFstgg51mgTQzmY4m7F4J6Hf,,"866,267 XRP",,"0.001
%"
2886,rLxeM8LAaCB6JvSWwDEvaPZZWrQzDiUnhR,,"866,112 XRP",,"0.001
%"
2887,rp3RmaJJ43S82d4hsqPrsMtJTk3rbRH98Z,,"866,049 XRP",,"0.001
%"
2888,rfqvJcnUNXDYoFfQ6kkDQtTVGqXUxCgYAD,,"865,560 XRP",,"0.001
%"
2889,rLEEy2hPuBXbc3V71AjmtVSangGvbB5Htp,,"865,400 XRP",,"0.001
%"
2890,r9meonoqYWcGwexfW6AamEDe94AvxuE2dB,,"863,054 XRP",,"0.001
%"
2891,rH4mJXCWj9B3oEh59Zz7MmortzdyXi7bCd,,"862,209 XRP",,"0.001
%"
2892,r9Bj3FLxAxzJ6vTzaGm6A7xBFnWUjxctBt,,"861,950 XRP",,"0.001
%"
2893,rMcyXQNwrhPhU3mQVNiUWavUmUuhJHSipc,,"861,877 XRP",,"0.001
%"
2894,rUKXZrhvhdVqerJUGmkVXotm8edZt1kCu6,,"861,839 XRP",,"0.001
%"
2895,rUs7MQiXherjELXQCRX1tL14zvG54zFr5t,,"861,616 XRP",,"0.001
%"
2896,rHK2jiDXGuo5yArM8rLr2S5fuYQsEaBemz,,"861,135 XRP",,"0.001
%"
