Rank,Wallet,Owner,Balance,XRP Locked,Percentage
1,rB3WNZc45gxzW31zxfXdkx8HusAhoqscPn,Ripple (11),232 XRP,"5,000,000,000 XRP","0.000
%"
2,r9UUEXn3cx2seufBkDa8F86usfjWM6HiYp,Ripple (10),220 XRP,"5,000,000,000 XRP","0.000
%"
3,rMhkqz3DeU7GUUJKGZofusbrTwZe6bDyb1,Ripple (28),206 XRP,"5,000,000,000 XRP","0.000
%"
4,r9NpyVfLfUG8hatuCCHKzosyDtKnBdsEN3,Ripple (9),204 XRP,"5,000,000,000 XRP","0.000
%"
5,rGKHDyj4L6pc7DzRB6LWCR4YfZfzXj2Bdh,Ripple (26),201 XRP,"5,000,000,000 XRP","0.000
%"
6,rHGfmgv54kpc3QCZGRXEQKUhLPndbasbQr,Ripple (27),200 XRP,"5,000,000,000 XRP","0.000
%"
7,rKDvgGUsNPZxsgmoemfrgXPS2Not4co2op,Ripple (13),201 XRP,"4,000,000,000 XRP","0.000
%"
8,rDdXiA3M4mYTQ4cFpWkVXfc2UaAXCFWeCK,Ripple (12),216 XRP,"3,730,000,000 XRP","0.000
%"
9,rsX8cp4aj9grKVD9V1K2ouUBXgYsjgUtBL,Uphold (8),"1,849,384,523 XRP",,"0.000
%"
10,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,Bithumb (12),"1,446,183,801 XRP",,"0.000
%"
11,rMQ98K56yXJbDGv49ZSmW51sLn94Xe1mu1,Ripple (29),"1,330,027,088 XRP",,"0.000
%"
12,rKveEyR1SrkWbJX214xcfH43ZsoGMb3PEv,Ripple (39),"1,195,544,084 XRP",,"0.000
%"
13,rs8ZPbYqgecRcDzQpJYAMhSxSi5htsjnza,Binance (5),"1,176,772,050 XRP",,"1.177
%"
14,rw2hzLZgiQ9q62KCuaTWuFHWfiX7JWg3wY,Ripple (24),"500,000,258 XRP","500,000,000 XRP","1.000
%"
15,rDqGA2GfveHypDguQ1KXrJzYymFZmKxEsF,Ripple (25),"500,000,200 XRP","500,000,000 XRP","1.000
%"
16,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,UPbit (22),"863,670,927 XRP",,"0.864
%"
17,rPz2qA93PeRCyHyFCqyNggnyycJR1N4iNf,Binance (13),"770,060,398 XRP",,"0.770
%"
18,rJ9Ey7HbscSECamgDRzvw5wrVbFUgaUDt7,,"713,000,011 XRP",,"0.713
%"
19,r99QSej32nAcjQAri65vE5ZXjw6xpUQ2Eh,Coincheck (3),"616,029,900 XRP",,"0.616
%"
20,rw7m3CtVHwGSdhFjV4MyJozmZJv3DYQnsA,bitbank (2),"581,397,852 XRP",500 XRP,"0.581
%"
21,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,Kraken (2),"558,410,408 XRP",,"0.558
%"
22,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,eToro (4),"514,976,751 XRP",,"0.515
%"
23,rsjFB8mPWqiZgPUaVh8XYqdfa59PE2d5LG,Ripple (23),201 XRP,"500,000,000 XRP","0.500
%"
24,rp6aTJmW3nq1aKt3Jmuz4DPRxksT5PBjpH,Ripple (22),200 XRP,"500,000,000 XRP","0.500
%"
25,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,UPbit (12),"500,000,113 XRP",,"0.500
%"
26,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,UPbit (13),"500,000,111 XRP",,"0.500
%"
27,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,UPbit (14),"500,000,071 XRP",,"0.500
%"
28,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,UPbit (21),"500,000,024 XRP",,"0.500
%"
29,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,UPbit (19),"500,000,023 XRP",,"0.500
%"
30,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,UPbit (20),"500,000,023 XRP",,"0.500
%"
31,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,UPbit (18),"500,000,023 XRP",,"0.500
%"
32,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,UPbit (17),"500,000,023 XRP",,"0.500
%"
33,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,UPbit (16),"500,000,023 XRP",,"0.500
%"
34,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,UPbit (15),"500,000,023 XRP",,"0.500
%"
35,rDfrrrBJZshSQDvfT2kmL9oUBdish52unH,chrislarsen (4),"500,000,001 XRP",,"0.500
%"
36,rD6tdgGHG7hwGTA6P39aE7W89fbqxXRjzk,chrislarsen (3),"500,000,001 XRP",,"0.500
%"
37,r476293LUcDqtjiSGJ5Dh44J1xBCDWeX3,chrislarsen (1),"500,000,000 XRP",,"0.500
%"
38,r44CNwMWyJf4MEA1eHVMLPTkZ1LSv4Bzrv,chrislarsen (2),"500,000,000 XRP",,"0.500
%"
39,rBntsdo3fAS5sb3pqe7LvvxTS8qngFYAe1,,"493,492,033 XRP",,"0.494
%"
40,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,chrislarsen (5),"419,999,990 XRP",,"0.420
%"
41,rB1kVfLSxpXCw7sLCBcm5LFZYzkS6xmwSK,,"408,554,285 XRP",,"0.409
%"
42,rKUhycGCu19u3GahFVSCqP5fBfCEzSoQbF,,"394,423,920 XRP",,"0.394
%"
43,raFi32MjMmYehvVL3h7aW9pXZFcYJWV5eB,,"383,780,626 XRP",,"0.384
%"
44,rpPcmcGQ5iTXDc5zF5owxwTifkTs1qYrA6,,"382,162,270 XRP",,"0.382
%"
45,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,Bybit (6),"327,378,588 XRP",,"0.327
%"
46,rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,Binance (XRP-BF2 Reserve),"325,800,010 XRP",,"0.326
%"
47,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,SBI VC Trade (4),"316,684,280 XRP",,"0.317
%"
48,rPoJNiCk7XSFLR28nH2hAbkYqjtMC3hK2k,chrislarsen (6),"300,188,448 XRP",,"0.300
%"
49,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,Crypto.com (4),"292,920,236 XRP","83,000 XRP","0.293
%"
50,rLD5k36bJkNk1HkYSSCJwM4jBXChHjRViQ,,"280,820,819 XRP",,"0.281
%"
51,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,Coinone (5),"280,329,979 XRP",,"0.280
%"
52,rBB8peCvJcSbkmuQSe6ct6cujqNzz465cB,,"259,290,894 XRP",,"0.259
%"
53,rP4X2hTa7A7udDbE6wczXvPz7XZ63sKxv3,,"257,533,033 XRP",,"0.258
%"
54,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,Binance (17),"257,281,647 XRP",,"0.257
%"
55,rstryhbE73v18SnJ3R8j1FSNYFWCSdELEd,,"241,171,667 XRP",,"0.241
%"
56,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,OKX,"221,686,097 XRP",250 XRP,"0.222
%"
57,rH5wodHpZzeXBAWE36nMoRXGqeEjSdbzWU,,"218,802,633 XRP",,"0.219
%"
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,"212,132,922 XRP",,"0.212
%"
