Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
1,rB3WNZc45gxzW31zxfXdkx8HusAhoqscPn,Ripple (11),232,5000000000,0.0,5000000232
2,r9UUEXn3cx2seufBkDa8F86usfjWM6HiYp,Ripple (10),220,5000000000,0.0,5000000220
3,rMhkqz3DeU7GUUJKGZofusbrTwZe6bDyb1,Ripple (28),206,5000000000,0.0,5000000206
4,r9NpyVfLfUG8hatuCCHKzosyDtKnBdsEN3,Ripple (9),204,5000000000,0.0,5000000204
5,rGKHDyj4L6pc7DzRB6LWCR4YfZfzXj2Bdh,Ripple (26),201,5000000000,0.0,5000000201
6,rHGfmgv54kpc3QCZGRXEQKUhLPndbasbQr,Ripple (27),200,5000000000,0.0,5000000200
7,rKDvgGUsNPZxsgmoemfrgXPS2Not4co2op,Ripple (13),201,4000000000,0.0,4000000201
8,rDdXiA3M4mYTQ4cFpWkVXfc2UaAXCFWeCK,Ripple (12),216,3730000000,0.0,3730000216
9,rsX8cp4aj9grKVD9V1K2ouUBXgYsjgUtBL,Uphold (8),1849384523,,0.0,1849384523
10,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,Bithumb (12),1446183801,,0.0,1446183801
11,rMQ98K56yXJbDGv49ZSmW51sLn94Xe1mu1,Ripple (29),1330027088,,0.0,1330027088
12,rKveEyR1SrkWbJX214xcfH43ZsoGMb3PEv,Ripple (39),1195544084,,0.0,1195544084
13,rs8ZPbYqgecRcDzQpJYAMhSxSi5htsjnza,Binance (5),1176772050,,1.18,1176772050
14,rw2hzLZgiQ9q62KCuaTWuFHWfiX7JWg3wY,Ripple (24),500000258,500000000,1.0,1000000258
15,rDqGA2GfveHypDguQ1KXrJzYymFZmKxEsF,Ripple (25),500000200,500000000,1.0,1000000200
16,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,UPbit (22),863670927,,0.86,863670927
17,rPz2qA93PeRCyHyFCqyNggnyycJR1N4iNf,Binance (13),770060398,,0.77,770060398
18,rJ9Ey7HbscSECamgDRzvw5wrVbFUgaUDt7,,713000011,,0.71,713000011
19,r99QSej32nAcjQAri65vE5ZXjw6xpUQ2Eh,Coincheck (3),616029900,,0.62,616029900
20,rw7m3CtVHwGSdhFjV4MyJozmZJv3DYQnsA,bitbank (2),581397852,500,0.58,581398352
21,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,Kraken (2),558410408,,0.56,558410408
22,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,eToro (4),514976751,,0.52,514976751
23,rsjFB8mPWqiZgPUaVh8XYqdfa59PE2d5LG,Ripple (23),201,500000000,0.5,500000201
24,rp6aTJmW3nq1aKt3Jmuz4DPRxksT5PBjpH,Ripple (22),200,500000000,0.5,500000200
25,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,UPbit (12),500000113,,0.5,500000113
26,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,UPbit (13),500000111,,0.5,500000111
27,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,UPbit (14),500000071,,0.5,500000071
28,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,UPbit (21),500000024,,0.5,500000024
29,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,UPbit (19),500000023,,0.5,500000023
30,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,UPbit (20),500000023,,0.5,500000023
31,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,UPbit (18),500000023,,0.5,500000023
32,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,UPbit (17),500000023,,0.5,500000023
33,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,UPbit (16),500000023,,0.5,500000023
34,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,UPbit (15),500000023,,0.5,500000023
35,rDfrrrBJZshSQDvfT2kmL9oUBdish52unH,chrislarsen (4),500000001,,0.5,500000001
36,rD6tdgGHG7hwGTA6P39aE7W89fbqxXRjzk,chrislarsen (3),500000001,,0.5,500000001
37,r476293LUcDqtjiSGJ5Dh44J1xBCDWeX3,chrislarsen (1),500000000,,0.5,500000000
38,r44CNwMWyJf4MEA1eHVMLPTkZ1LSv4Bzrv,chrislarsen (2),500000000,,0.5,500000000
39,rBntsdo3fAS5sb3pqe7LvvxTS8qngFYAe1,,493492033,,0.49,493492033
40,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,chrislarsen (5),419999990,,0.42,419999990
41,rB1kVfLSxpXCw7sLCBcm5LFZYzkS6xmwSK,,408554285,,0.41,408554285
42,rKUhycGCu19u3GahFVSCqP5fBfCEzSoQbF,,394423920,,0.39,394423920
43,raFi32MjMmYehvVL3h7aW9pXZFcYJWV5eB,,383780626,,0.38,383780626
44,rpPcmcGQ5iTXDc5zF5owxwTifkTs1qYrA6,,382162270,,0.38,382162270
45,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,Bybit (6),327378588,,0.33,327378588
46,rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,Binance (XRP-BF2 Reserve),325800010,,0.33,325800010
47,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,SBI VC Trade (4),316684280,,0.32,316684280
48,rPoJNiCk7XSFLR28nH2hAbkYqjtMC3hK2k,chrislarsen (6),300188448,,0.3,300188448
49,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,Crypto.com (4),292920236,83000,0.29,293003236
50,rLD5k36bJkNk1HkYSSCJwM4jBXChHjRViQ,,280820819,,0.28,280820819
51,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,Coinone (5),280329979,,0.28,280329979
52,rBB8peCvJcSbkmuQSe6ct6cujqNzz465cB,,259290894,,0.26,259290894
53,rP4X2hTa7A7udDbE6wczXvPz7XZ63sKxv3,,257533033,,0.26,257533033
54,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,Binance (17),257281647,,0.26,257281647
55,rstryhbE73v18SnJ3R8j1FSNYFWCSdELEd,,241171667,,0.24,241171667
56,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,OKX,221686097,250,0.22,221686347
57,rH5wodHpZzeXBAWE36nMoRXGqeEjSdbzWU,,218802633,,0.22,218802633
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,212132922,,0.21,212132922
59,rPh2BtTsJWsVLKUtp5RY6J9fTFekDgoQHN,,210669138,,0.21,210669138
60,rwBS6P88HnmTGkRgms78uM51LQL9p6Fcyb,Ripple (48),200000035,,0.2,200000035
61,rE5Ekd2hTy62WNbCfpsN9DEC4bd8utr5Cx,Ripple (46),200000025,,0.2,200000025
62,rpynXLU7rAHtdKmdwgiVqLSfz9xwDvK4hy,Ripple (47),200000025,,0.2,200000025
63,rBZz5VCEXpYzvhN8jWCC2Sb2QVDzsM5WKs,Ripple (49),200000025,,0.2,200000025
64,rG2eEaeiJou6cVQ3KtX7XMNwGhuW99xmHP,ahbritto (12),200000000,,0.2,200000000
65,ragKXjY7cBTXUus32sYHZVfkY46Nt2Q829,ahbritto (4),200000000,,0.2,200000000
66,rsF9cc6gniHLTR2Jng29ng21ez7L9PpmPt,ahbritto (5),200000000,,0.2,200000000
67,rJ5EJYsW6Vkeruj1LAmQYq3VP7QUQKBH1W,ahbritto (6),200000000,,0.2,200000000
68,rsXNUCJkXeyFuGHyfRnuWPita2ns32upBD,ahbritto (3),200000000,,0.2,200000000
69,rQKZSMgmBJvv3FvWj1vuGjUXnegTqJc25z,ahbritto (2),199999950,,0.2,199999950
70,rhtufNsYfrozs4GvSq4HMYcR9y3dg8FWdC,Ripple (52),195000080,,0.2,195000080
71,rP8GfS4Ku43STM9kHEoKeWVvhV1E525zfo,,180107804,,0.18,180107804
72,r4AUYDBeV8YaLDZwuXG28CQgZ8XrThy8F2,,179315024,,0.18,179315024
73,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,bitFlyer (4),179298032,,0.18,179298032
74,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,Uphold (4),160565973,,0.16,160565973
75,rfT19bmhihA4dc9YwRmmS3bHtN8eNee1EG,,152770178,,0.15,152770178
76,rnuDDzvYWTPqXTDVvwE9oLGLgxzV7Rpnpe,,145200053,,0.14,145200053
77,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,Binance (6),142912202,,0.14,142912202
78,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,Gemini (1),138775322,150,0.14,138775472
79,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,KuCoin (7),135768080,,0.14,135768080
80,rQUUAjDPTLWTEHrpNtQvryUdvd1afc6TcB,,135629172,,0.14,135629172
81,rhDTe4SW6Tg4g3uWy66xJUuitsNYaRGgHZ,,127942119,,0.13,127942119
82,rEbXa31msPbPDZgmLMKH7CaKaf7VipoLBo,,126392005,,0.13,126392005
83,rLUrobvcPHmbRVgzgGA6Vsp7Eu7yBQpEQe,,125981946,,0.13,125981946
84,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,Korbit (7),122521471,,0.12,122521471
85,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,BTC Markets (1),118193347,,0.12,118193347
86,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,112630721,,0.11,112630721
87,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,111935200,,0.11,111935200
88,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),111685274,,0.11,111685274
89,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,107569358,,0.11,107569358
90,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,106418309,,0.11,106418309
91,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,104998181,,0.1,104998181
92,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,104046672,,0.1,104046672
93,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,100000959,,0.1,100000959
94,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,100000001,,0.1,100000001
95,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),99999999,,0.1,99999999
96,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,99751302,,0.1,99751302
97,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,92835133,,0.09,92835133
98,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),90390513,50,0.09,90390563
99,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,90000143,,0.09,90000143
100,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),88196139,,0.09,88196139
101,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,86075877,,0.09,86075877
102,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,85246676,,0.09,85246676
103,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,79860567,,0.08,79860567
104,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,79356569,,0.08,79356569
105,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,76115368,,0.08,76115368
106,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,72671664,,0.07,72671664
107,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,71073954,,0.07,71073954
108,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,70017883,,0.07,70017883
109,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,69224979,,0.07,69224979
110,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),68409039,,0.07,68409039
111,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,67674632,,0.07,67674632
112,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,62659437,,0.06,62659437
113,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,61754122,,0.06,61754122
114,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,58261030,,0.06,58261030
115,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),57941995,,0.06,57941995
116,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),57435976,,0.06,57435976
117,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,57419369,,0.06,57419369
118,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,56743573,,0.06,56743573
119,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),56203491,,0.06,56203491
120,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,53730133,,0.05,53730133
121,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,53730122,,0.05,53730122
122,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,53730122,,0.05,53730122
123,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,53730112,,0.05,53730112
124,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,52484468,,0.05,52484468
125,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,52000021,,0.05,52000021
126,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,50000090,,0.05,50000090
127,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),49420835,1000,0.05,49421835
128,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),48568584,,0.05,48568584
129,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),48438784,,0.05,48438784
