Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,212132922,,0.21,212132922
59,rPh2BtTsJWsVLKUtp5RY6J9fTFekDgoQHN,,210669138,,0.21,210669138
60,rwBS6P88HnmTGkRgms78uM51LQL9p6Fcyb,Ripple (48),200000035,,0.2,200000035
61,rE5Ekd2hTy62WNbCfpsN9DEC4bd8utr5Cx,Ripple (46),200000025,,0.2,200000025
62,rpynXLU7rAHtdKmdwgiVqLSfz9xwDvK4hy,Ripple (47),200000025,,0.2,200000025
63,rBZz5VCEXpYzvhN8jWCC2Sb2QVDzsM5WKs,Ripple (49),200000025,,0.2,200000025
64,rG2eEaeiJou6cVQ3KtX7XMNwGhuW99xmHP,ahbritto (12),200000000,,0.2,200000000
65,ragKXjY7cBTXUus32sYHZVfkY46Nt2Q829,ahbritto (4),200000000,,0.2,200000000
66,rsF9cc6gniHLTR2Jng29ng21ez7L9PpmPt,ahbritto (5),200000000,,0.2,200000000
67,rJ5EJYsW6Vkeruj1LAmQYq3VP7QUQKBH1W,ahbritto (6),200000000,,0.2,200000000
68,rsXNUCJkXeyFuGHyfRnuWPita2ns32upBD,ahbritto (3),200000000,,0.2,200000000
69,rQKZSMgmBJvv3FvWj1vuGjUXnegTqJc25z,ahbritto (2),199999950,,0.2,199999950
70,rhtufNsYfrozs4GvSq4HMYcR9y3dg8FWdC,Ripple (52),195000080,,0.2,195000080
71,r4AUYDBeV8YaLDZwuXG28CQgZ8XrThy8F2,,180865023,,0.18,180865023
72,rP8GfS4Ku43STM9kHEoKeWVvhV1E525zfo,,180107804,,0.18,180107804
73,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,bitFlyer (4),179193360,,0.18,179193360
74,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,Binance (6),169310299,,0.17,169310299
75,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,Uphold (4),160565973,,0.16,160565973
76,rfT19bmhihA4dc9YwRmmS3bHtN8eNee1EG,,154315289,,0.15,154315289
77,rnuDDzvYWTPqXTDVvwE9oLGLgxzV7Rpnpe,,145200053,,0.14,145200053
78,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,KuCoin (7),141768080,,0.14,141768080
79,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,Gemini (1),138786687,550,0.14,138787237
