Rank,Wallet,Owner,Balance,XRP Locked,Percentage
83,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,"125,111,655 XRP",,"0.125
%"
84,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,Korbit (7),"118,521,471 XRP",,"0.119
%"
85,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,BTC Markets (1),"118,193,347 XRP",,"0.118
%"
86,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,"113,710,859 XRP",,"0.114
%"
87,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,"111,935,200 XRP",,"0.112
%"
88,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),"111,685,274 XRP",,"0.112
%"
89,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,"108,339,672 XRP",,"0.108
%"
90,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,"108,237,354 XRP",,"0.108
%"
91,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,"106,418,309 XRP",,"0.106
%"
92,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,"104,420,665 XRP",,"0.104
%"
93,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,"100,000,959 XRP",,"0.100
%"
94,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,"100,000,001 XRP",,"0.100
%"
95,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),"99,999,999 XRP",,"0.100
%"
96,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,"97,751,302 XRP",,"0.098
%"
97,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,"92,835,133 XRP",,"0.093
%"
98,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,Binance (6),"90,873,173 XRP",,"0.091
%"
99,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),"90,390,453 XRP",50 XRP,"0.090
%"
100,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,"90,000,143 XRP",,"0.090
%"
101,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),"88,196,139 XRP",,"0.088
%"
102,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,"86,075,877 XRP",,"0.086
%"
103,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,"79,860,567 XRP",,"0.080
%"
104,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,"79,305,924 XRP",,"0.079
%"
105,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,"78,789,525 XRP",,"0.079
%"
106,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),"73,060,619 XRP",,"0.073
%"
107,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,"71,671,664 XRP",,"0.072
%"
108,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,"70,148,973 XRP",,"0.070
%"
109,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,"70,017,883 XRP",,"0.070
%"
110,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,"68,507,101 XRP",,"0.069
%"
111,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,"67,674,632 XRP",,"0.068
%"
112,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,"62,659,437 XRP",,"0.063
%"
113,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,"61,754,122 XRP",,"0.062
%"
114,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,"58,261,030 XRP",,"0.058
%"
115,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),"57,941,995 XRP",,"0.058
%"
116,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),"57,435,976 XRP",,"0.057
%"
117,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,"57,419,369 XRP",,"0.057
%"
118,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,"56,743,573 XRP",,"0.057
%"
119,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),"56,203,491 XRP",,"0.056
%"
120,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,Bybit (4),"55,671,832 XRP",,"0.056
%"
121,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,"53,730,133 XRP",,"0.054
%"
122,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,"53,730,122 XRP",,"0.054
%"
123,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,"53,730,122 XRP",,"0.054
%"
124,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,"53,730,112 XRP",,"0.054
%"
125,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,"52,484,468 XRP",,"0.052
%"
126,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,"52,000,021 XRP",,"0.052
%"
127,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,"50,000,090 XRP",,"0.050
%"
128,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),"49,348,424 XRP","1,000 XRP","0.049
%"
129,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,Gate.io (1),"48,455,408 XRP","50,000 XRP","0.049
%"
130,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),"48,438,784 XRP",,"0.048
%"
131,r3BFHL2EXZN4darZ7vH7BT7tP9tN7tyd6W,,"48,274,481 XRP",,"0.048
%"
132,rUUn2LzyYDbMRcCKXyGh1m9yTd2CvJQHd7,,"45,111,055 XRP",,"0.045
%"
133,rsSxRNdYoajcAvGe6c5fNYG4vuKu4kMxDW,,"44,671,617 XRP",,"0.045
%"
134,rJoFuF6WaDxs4U94uKB9j5xomPstwRG1zN,,"44,419,924 XRP",,"0.044
%"
135,razaE6HTEMUc9ogMYwmBT5GQk2b9qtbTnC,,"43,494,455 XRP",,"0.044
%"
136,rHU6iE3RcZTWvSAkQuFdYVFjRHWtsFNRk7,,"42,671,245 XRP",,"0.043
%"
137,rfzng8CpncsP2ZH2UhZPHpnE2wMoRhK9M4,,"42,170,189 XRP",,"0.042
%"
138,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),"41,016,231 XRP",,"0.041
%"
139,r9V6GYWRQNLgveGrn8JkCRTU9GA8Phzufy,,"40,616,559 XRP",,"0.041
%"
140,rEjne8Fg1ejafc9Js6BPjJjXEDRBTyyZre,,"40,000,013 XRP",,"0.040
%"
141,rG5NJxrKGUgrsoLgBjddvpE8NfqLAgA95q,,"40,000,011 XRP",,"0.040
%"
142,rf3QABZy2pexNqfbzyxXsTwY5iXRfNE1VP,,"39,602,599 XRP",,"0.040
%"
143,r9qV5rKHJhRGwCnbZsgND4hsuHLH8UhVE4,,"37,915,636 XRP",,"0.038
%"
144,rGzX1VMQpextCR98yYEHS2W7DCtRPTK3WF,,"36,983,190 XRP",,"0.037
%"
145,rrKjsvBUgcok6UL6vHwmdrM8M9mxw5ohP,,"36,230,597 XRP",,"0.036
%"
146,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,,"36,087,853 XRP",,"0.036
%"
147,rV9JsBSFRMdcxwAFAA6wbzgdYfAHpjN9f,,"34,989,035 XRP",,"0.035
%"
148,rUWUJ2F3aZknSd8PVutoMnxowMK792maTD,,"34,316,995 XRP",,"0.034
%"
149,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,Bitget Global,"34,169,589 XRP",20 XRP,"0.034
%"
150,rMn4SutY41iGtMC87EE9BZ8hFSgBLCZdog,,"33,507,237 XRP",,"0.034
%"
151,rJw1o6M4HhQ7i5gbuhkRdZQSg5bDMFYS4W,,"32,977,448 XRP",,"0.033
%"
152,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,,"32,098,412 XRP",,"0.032
%"
153,rLoD9U2ghXP2xUYbtML6G6v1p8LhM9mSnc,,"31,844,083 XRP",,"0.032
%"
154,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,,"31,760,047 XRP",,"0.032
%"
155,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,Bitfinex (1),"31,433,269 XRP",500 XRP,"0.031
%"
156,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,Binance (16),"31,262,461 XRP",,"0.031
%"
157,rNSFNMo5kfmZWR5Ryb3ZVEMm1ZncxwzMqa,,"31,232,349 XRP",,"0.031
%"
158,rBjDVYtYxkBjcSbzMkSfnc31iSw8nsGR74,,"30,999,900 XRP",,"0.031
%"
159,rfycjrGRMav6xcxcWyQ5JKjBFQXbog5K6q,,"30,999,853 XRP",,"0.031
%"
160,rGNVd8ypXAAtExDGsJ7sV3feoPdwJ9wwAe,,"30,686,027 XRP",,"0.031
%"
161,rKuP5k67YtHzsCmSQp7votF7u4afp4uNcm,,"30,323,899 XRP",,"0.030
%"
162,rKbs6qhu8orUJTdNf2q8zbBHGLKJbRYgr1,,"30,272,108 XRP",,"0.030
%"
163,rhDgyndaMdJXHGYHiSafy6aLynfcjofwmy,,"30,000,018 XRP",,"0.030
%"
164,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,CoinJar,"29,629,728 XRP",,"0.030
%"
165,rsTtGH7a9mom5X8Y9D3kxroXWvA912RgUZ,Coinbase (Cold 176),"29,576,571 XRP",,"0.030
%"
166,rGG4LZruYFJ34PNCi1doapgA1hynz3gxX7,Coinbase (Cold 125),"29,532,544 XRP",,"0.030
%"
167,r417XbsvuBJpkMC4eHtGpvAHxgC24mb6Nc,Coinbase (Cold 193),"29,532,544 XRP",,"0.030
%"
168,raMRJ2d3djqwSUBK28W31R7aJQfK21zU1C,Coinbase (Cold 456),"29,532,544 XRP",,"0.030
%"
169,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,Coinbase (Cold 399),"29,532,544 XRP",,"0.030
%"
170,rfVZkhcpMPBN6ZdyfTeHZ6d8Bn269s2vWM,Coinbase (Cold 310),"29,532,544 XRP",,"0.030
%"
171,r9mkuV6bpvok7SZ8Zargiw5KzZHDFbaApy,Coinbase (Cold 285),"29,532,544 XRP",,"0.030
%"
172,rEWBvZyGHsQfofVJrmWRyvu7vhBB53r622,Coinbase (Cold 343),"29,532,544 XRP",,"0.030
%"
173,rNaJVWotxZ9nGTBiHRWR6LR1deXHa8FRLf,Coinbase (Cold 418),"29,532,544 XRP",,"0.030
%"
174,rGriTJKG1i71mLssnwqoV6gPbSEv45nqur,Coinbase (Cold 236),"29,532,544 XRP",,"0.030
%"
175,rnVcQzWJP2sJbJF3GgvdAeqveW1V7dT2Vq,Coinbase (Cold 283),"29,532,544 XRP",,"0.030
%"
176,rBxDDgkamywW7WRegN4gVrGMwHTbdhnt8w,Coinbase (Cold 323),"29,532,544 XRP",,"0.030
%"
177,rPeuuqP9rNhskesoA3ferKfp6VT5SvLAzU,Coinbase (Cold 299),"29,532,544 XRP",,"0.030
%"
178,rMC8Gih4GNNJL2QNbyfNHYEwjneX1LHdcc,,"27,875,010 XRP",,"0.028
%"
179,rsgwNP2cyRHAcEbuRmboDQ4pmgemMNVZR3,,"27,847,007 XRP",,"0.028
%"
180,rPgeFVvofU6zAL6L4AMfgKYQUtUoPeiQbV,,"27,551,278 XRP",,"0.028
%"
181,rBRaRTaq99U216NSDt7dFRrfzAtZzyrgS6,Coinbase (Cold 188),"27,108,604 XRP",,"0.027
%"
182,rPkUBHkNA41SDWk4RWuXUtKqHJb1oBARiv,,"27,066,768 XRP",,"0.027
%"
183,rsVDKTbUceVQqNKrSzYj8HtkVcS7TuRWSN,Coinbase (Cold 36),"27,047,891 XRP",,"0.027
%"
184,rBj8PDBTKKuXWJaWbaEtdkV8hq4oxRWhsB,Coinbase (Cold 392),"27,028,666 XRP",,"0.027
%"
185,rMJbEvjzqVeGJHs5ySZvuF2dHhWKx69t6G,Coinbase (Cold 100),"26,951,693 XRP",,"0.027
%"
186,rw4rHH5LrTUZ5WDXieCPT14E89PwnmXtoV,Coinbase (Cold 48),"26,897,003 XRP",,"0.027
%"
187,rNbMpc8JgLKnXs51KVYAmt4zbDvE8kgQEi,Coinbase (Cold 232),"26,897,003 XRP",,"0.027
%"
188,rBiCL18zasvY9e8M2ZSub6gyYfzmfK4356,,"26,700,010 XRP",,"0.027
%"
189,rnaxGortNCoxkWUq18jCGmQDeCrLBmiz42,Coinbase (Cold 92),"26,671,745 XRP",,"0.027
%"
190,rMsfxSZfdj3F1vBeVRte6b83LMV4AtZAHX,Coinbase (Cold 434),"26,671,745 XRP",,"0.027
%"
191,rf9CWxJKUwHm4eZo3Z8SHi6Z1D6RoqFqqq,Coinbase (Cold 196),"26,671,745 XRP",,"0.027
%"
192,rKmcvfZ4AeVCsJDNLZg3Xwbs86F33sC6bR,Coinbase (Cold 78),"26,671,745 XRP",,"0.027
%"
193,rhyp1uMC9Xyj3Px8amUH3xVv6tbjYJkojs,Ripple (35),"26,575,132 XRP",,"0.027
%"
194,rGMrBbRhpBLhZMzEKQTqhfGQnaTHhrfZCw,,"26,444,454 XRP",,"0.026
%"
195,r9YMphxsqY1CQckqzDwfsutJhs9CwbWh97,,"26,399,087 XRP",,"0.026
%"
196,rnYzsCmvD35kBntkY5g4kf7hStMGKSQfwz,Coinbase (Cold 149),"26,371,811 XRP",,"0.026
%"
197,rJQC2RzzALgus6ZZgu34nXnpz67v3bRSzi,Coinbase (Cold 210),"25,526,876 XRP",,"0.026
%"
198,r939VcVXx5Zx9wJ1TL61StPEKaqaYf75XQ,Coinbase (Cold 104),"25,498,189 XRP",,"0.026
%"
199,raQ3drgGw2eFHTnck6SZxKe2JhQr8Lm8w1,Coinbase (Cold 108),"25,498,189 XRP",,"0.026
%"
200,r9rg8WT6KPXE8FGYbsGG6YaEG6wrbLxqF9,Coinbase (Cold 206),"25,498,189 XRP",,"0.026
%"
201,rGoDpsHfkkSvNatyXHZPiJk7qydd7uahQz,Coinbase (Cold 183),"25,498,189 XRP",,"0.026
%"
202,rJnUXy7x3RW58Kien2eFtZEY2Pa3HBvpQ2,,"25,228,542 XRP",,"0.025
%"
203,rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,Bitstamp (1),"25,092,402 XRP",500 XRP,"0.025
%"
204,rNYW2bie6KwUSYhhtcnXWzRy5nLCa1UNCn,Bitrue Insurance Fund,"25,038,857 XRP",,"0.025
%"
205,rwvzy5nyGYfQKrgRFARGda6uCtnxLyGRBA,,"25,017,586 XRP",,"0.025
%"
206,rPGnixkUqn7gSgj8MfdUt9S2vjqfT9Lrnw,,"25,000,051 XRP",,"0.025
%"
207,rLFcVmFnZXEds2qQ4WH8A5U7xaKEzzkrBa,,"25,000,001 XRP",,"0.025
%"
208,r4UuSEwzgjY5CugYNEWqA49hxvvE9ivJne,,"25,000,001 XRP",,"0.025
%"
209,rscK4E94r6KHfPxMCqpH5SB9q5M1NQDtAn,,"25,000,000 XRP",,"0.025
%"
210,rftUgG8yQLcSRecihGfPsRPez6g7ap7yz2,,"25,000,000 XRP",,"0.025
%"
211,r38387ANCJNTnfEeJXZ8DMEsCq9g28w7qJ,,"25,000,000 XRP",,"0.025
%"
212,rwo9VH8iyq89ZaEipFsFsLgSrMABUkbBVY,,"25,000,000 XRP",,"0.025
%"
213,rp5kDwvghkEVQa48Yc7dyeBK6GUZfrdxYe,,"25,000,000 XRP",,"0.025
%"
214,rnxe6F9Vtqtb9RNoKxuPtgrttEtFHM1aiA,,"24,954,962 XRP",,"0.025
%"
215,rJ1v4yzovV2BpDav4MegBeejPgwmPZZCNa,,"24,786,355 XRP",,"0.025
%"
216,rarG6FaeYhnzSKSS5EEPofo4gFsPn2bZKk,Binance (15),"24,672,697 XRP",495 XRP,"0.025
%"
217,rwKpWJ54xAZFm5DTr7GUjREx6AK3MpAfae,,"24,475,338 XRP",,"0.024
%"
218,rM7mvLE99LSt5DE7GvcnHVEgefzCZL2T4x,,"24,400,000 XRP",,"0.024
%"
219,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,Bitkub (3),"24,264,203 XRP",,"0.024
%"
220,rp8Ygdyi2u7DZuMbchpFKBpsgSeg4LXDFQ,,"23,839,902 XRP",,"0.024
%"
221,rp1edBgyjbAsjXXHrhGtGUK2v6D6XhMTwc,,"23,606,554 XRP",,"0.024
%"
222,rNUSc5uLSSjf5jrzwPL4TsVab2QM62pgwX,,"23,599,978 XRP",,"0.024
%"
223,rJLsUWGG45Qb4fkJjFuxASdzrJh5gqD2TW,,"23,225,000 XRP",,"0.023
%"
224,rsCRCZmdw55EdXXAsQYExFLH5zrvbaFaAm,,"23,030,680 XRP",,"0.023
%"
225,rJNVodKWXZMZfCd7BGGJpPYPuCdWHyNBq1,,"22,700,000 XRP",,"0.023
%"
226,rhWj9gaovwu2hZxYW7p388P8GRbuXFLQkK,Binance (14),"22,321,953 XRP",,"0.022
%"
227,r9YMtQKy8uBkV66cyCvwiixmqE1VSudoBE,,"22,242,279 XRP",,"0.022
%"
228,rEMjkJvtZ84uZYU7EpX8GYVbN2BrscTE9Z,,"22,117,918 XRP",,"0.022
%"
229,rGzwBVxutLLaxfeE4mJWrxHX1SMRxjo7Am,,"21,900,000 XRP",,"0.022
%"
